ObservationDate,Confirmed
3/8/2020,3
3/9/2020,3
3/10/2020,3
3/11/2020,3
3/12/2020,3
3/13/2020,3
3/14/2020,3
3/15/2020,5
3/16/2020,8
3/17/2020,10
3/18/2020,14
3/19/2020,17
3/20/2020,20
3/21/2020,25
3/22/2020,27
3/23/2020,33
3/24/2020,39
3/25/2020,39
3/26/2020,44
3/27/2020,48
3/28/2020,48
3/29/2020,48
3/30/2020,49
3/31/2020,51
4/1/2020,54
4/2/2020,56
4/3/2020,61
4/4/2020,70
4/5/2020,88
4/6/2020,123
4/7/2020,164
4/8/2020,218
4/9/2020,330
4/10/2020,424
4/11/2020,482
4/12/2020,621
4/13/2020,803
4/14/2020,1012
4/15/2020,1231
4/16/2020,1572
4/17/2020,1838
4/18/2020,2144
4/19/2020,2456
4/20/2020,2948
4/21/2020,3382
4/22/2020,3772
4/23/2020,4186
4/24/2020,4689
4/25/2020,4998
4/26/2020,5416
4/27/2020,5913
4/28/2020,6462
4/29/2020,7103
4/30/2020,7667
5/1/2020,8238
5/2/2020,8790
5/3/2020,9455
5/4/2020,10143
5/5/2020,10929
5/6/2020,11719
5/7/2020,12425
5/8/2020,13134
5/9/2020,13770
5/10/2020,14657
5/11/2020,15691
5/12/2020,16660
5/13/2020,17822
5/14/2020,18863
5/15/2020,20065
5/16/2020,20995
5/17/2020,22268
5/18/2020,23870
5/19/2020,25121
5/20/2020,26738
5/21/2020,28511
5/22/2020,30205
5/23/2020,32078
5/24/2020,33610
5/25/2020,35585
5/26/2020,36751
5/27/2020,38292
5/28/2020,40321
5/29/2020,42844
5/30/2020,44608
5/31/2020,47153
6/1/2020,49534
6/2/2020,52445
6/3/2020,55140
6/4/2020,57563
6/5/2020,60391
6/6/2020,63026
6/7/2020,65769
6/8/2020,68504
6/9/2020,71675
6/10/2020,74865
6/11/2020,78052
6/12/2020,81523
6/13/2020,84379
6/14/2020,87520
6/15/2020,90619
6/16/2020,94481
6/17/2020,98489
6/18/2020,102292
6/19/2020,105535
6/20/2020,108775
6/21/2020,112306
6/22/2020,115786
6/23/2020,119198
6/24/2020,122660
6/25/2020,126606
6/26/2020,130474
6/27/2020,133978
6/28/2020,137787
6/29/2020,141801
6/30/2020,145483
7/1/2020,149258
7/2/2020,153277
7/3/2020,156391
7/4/2020,159679
7/5/2020,162417
7/6/2020,165618
7/7/2020,168645
7/8/2020,172134
7/9/2020,175494
7/10/2020,178443
7/11/2020,181129
7/12/2020,183795
7/13/2020,186894
7/14/2020,190057
7/15/2020,193590
7/16/2020,196323
7/17/2020,199357
7/18/2020,202066
7/19/2020,204525
7/20/2020,207453
7/21/2020,210510
7/22/2020,213254
7/23/2020,216110
7/24/2020,218658
7/25/2020,221178
7/26/2020,223453
7/27/2020,226225
7/28/2020,229185
7/29/2020,232194
7/30/2020,234889
7/31/2020,237661
8/1/2020,239860
8/2/2020,240746
8/3/2020,242102
8/4/2020,244020
8/5/2020,246674
8/6/2020,249651
8/7/2020,252502
8/8/2020,255113
8/9/2020,257600
8/10/2020,260507
8/11/2020,263503
8/12/2020,266498
8/13/2020,269115
8/14/2020,271881
8/15/2020,274525
8/16/2020,276549
8/17/2020,279144
8/18/2020,282344
8/19/2020,285091
8/20/2020,287959
8/21/2020,290360
8/22/2020,292625
8/23/2020,294598
8/24/2020,297083
8/25/2020,299628
8/26/2020,302147
8/27/2020,304583
8/28/2020,306794
8/29/2020,308925
8/30/2020,310822
8/31/2020,312996
9/1/2020,314946
9/2/2020,317528
9/3/2020,319686
9/4/2020,321615
9/5/2020,323565
9/6/2020,325157
9/7/2020,327359
9/8/2020,329251
9/9/2020,331078
9/10/2020,332970
9/11/2020,334762
9/12/2020,336044
9/13/2020,337520
9/14/2020,339332
9/15/2020,341056
9/16/2020,342671
9/17/2020,344264
9/18/2020,345805
9/19/2020,347372
9/20/2020,348918
9/21/2020,350621
9/22/2020,352178
9/23/2020,353844
9/24/2020,355384
9/25/2020,356767
9/26/2020,357873
9/27/2020,359148
9/28/2020,360555
9/29/2020,362043
9/30/2020,363479
10/1/2020,364987
10/2/2020,366383
10/3/2020,367565
10/4/2020,368690
10/5/2020,370132
10/6/2020,371631
10/7/2020,373151
10/8/2020,374592
10/9/2020,375870
10/10/2020,377073
10/11/2020,378266
10/12/2020,379738
10/13/2020,381275
10/14/2020,382959
10/15/2020,384559
10/16/2020,386086
10/17/2020,387295
10/18/2020,388569
10/19/2020,390206
10/20/2020,391586
10/21/2020,393131
10/22/2020,394827
10/23/2020,396413
10/24/2020,397507
10/25/2020,398815
10/26/2020,400251
10/27/2020,401586
10/28/2020,403079
10/29/2020,404760
10/30/2020,406364
10/31/2020,407684
11/1/2020,409252
11/2/2020,410988
11/3/2020,412647
11/4/2020,414164
11/5/2020,416006
11/6/2020,417475
11/7/2020,418764
11/8/2020,420238
11/9/2020,421921
11/10/2020,423620
11/11/2020,425353
11/12/2020,427198
11/13/2020,428965
11/14/2020,430496
11/15/2020,432333
11/16/2020,434472
11/17/2020,436684
11/18/2020,438795
11/19/2020,441159
11/20/2020,443434
11/21/2020,445281
11/22/2020,447341
11/23/2020,449760
11/24/2020,451990
11/25/2020,454146
11/26/2020,456438
11/27/2020,458711
11/28/2020,460619
11/29/2020,462407
11/30/2020,464932
12/1/2020,467225
12/2/2020,469423
12/3/2020,471739
12/4/2020,473991
12/5/2020,475789
12/6/2020,477545
12/7/2020,479743
12/8/2020,481945
12/9/2020,484104
12/10/2020,485965
12/11/2020,487849
12/12/2020,489178
12/13/2020,490533
12/14/2020,492332
12/15/2020,494209
12/16/2020,495841
12/17/2020,496975
12/18/2020,498293
12/19/2020,499560
12/20/2020,500713
12/21/2020,502183
12/22/2020,503501
12/23/2020,504868
12/24/2020,506102
12/25/2020,507265
12/26/2020,508099
12/27/2020,509148
12/28/2020,510080
12/29/2020,511261
12/30/2020,512496
12/31/2020,513510
1/1/2021,514500
1/2/2021,515184
1/3/2021,516019
1/4/2021,516929
1/5/2021,517920
1/6/2021,518898
1/7/2021,519905
1/8/2021,520690
1/9/2021,521382
1/10/2021,522453
1/11/2021,523302
1/12/2021,524020
1/13/2021,524910
1/14/2021,525723
1/15/2021,526485
1/16/2021,527063
1/17/2021,527632
1/18/2021,528329
1/19/2021,529031
1/20/2021,529687
1/21/2021,530271
1/22/2021,530890
1/23/2021,531326
1/24/2021,531799
1/25/2021,532401
1/26/2021,532916
1/27/2021,533444
1/28/2021,533953
1/29/2021,534407
1/30/2021,534770
1/31/2021,535139
2/1/2021,535582
2/2/2021,536107
2/3/2021,536545
2/4/2021,537030
2/5/2021,537465
2/6/2021,537770
2/7/2021,538062
2/8/2021,538378
2/9/2021,538765
2/10/2021,539153
2/11/2021,539531
2/12/2021,539975
2/13/2021,540266
2/14/2021,540592
2/15/2021,541038
2/16/2021,541434
2/17/2021,541877
2/18/2021,542268
2/19/2021,542674
2/20/2021,543024
2/21/2021,543351
2/22/2021,543717
2/23/2021,544116
2/24/2021,544544
2/25/2021,544954
2/26/2021,545424
2/27/2021,545831
2/28/2021,546216
3/1/2021,546801
3/2/2021,547316
3/3/2021,547930
3/4/2021,548549
3/5/2021,549184
3/6/2021,549724
3/7/2021,550330
3/8/2021,551175
3/9/2021,552087
3/10/2021,553105
3/11/2021,554156
3/12/2021,555222
3/13/2021,556236
3/14/2021,557395
3/15/2021,559168
3/16/2021,560887
3/17/2021,562752
3/18/2021,564939
3/19/2021,566838
3/20/2021,568706
3/21/2021,570878
3/22/2021,573687
3/23/2021,577241
3/24/2021,580808
3/25/2021,584395
3/26/2021,588132
3/27/2021,591806
3/28/2021,595714
3/29/2021,600895
3/30/2021,605937
3/31/2021,611295
4/1/2021,617764
4/2/2021,624594
4/3/2021,630277
4/4/2021,637364
4/5/2021,644439
4/6/2021,651652
4/7/2021,659278
4/8/2021,666132
4/9/2021,673594
4/10/2021,678937
4/11/2021,684756
4/12/2021,691957
4/13/2021,697985
4/14/2021,703170
4/15/2021,707362
4/16/2021,711779
4/17/2021,715252
4/18/2021,718950
4/19/2021,723221
4/20/2021,727780
4/21/2021,732060
4/22/2021,736074
4/23/2021,739703
4/24/2021,742400
4/25/2021,745322
4/26/2021,748628
4/27/2021,751659
4/28/2021,754614
4/29/2021,756955
4/30/2021,759132
5/1/2021,760584
5/2/2021,761943
5/3/2021,763682
5/4/2021,765596
5/5/2021,767338
5/6/2021,769160
5/7/2021,770842
5/8/2021,772127
5/9/2021,773513
5/10/2021,775027
5/11/2021,776257
5/12/2021,777397
5/13/2021,778687
5/14/2021,779535
5/15/2021,779796
5/16/2021,780159
5/17/2021,780857
5/18/2021,782129
5/19/2021,783737
5/20/2021,785194
5/21/2021,786698
5/22/2021,787726
5/23/2021,789080
5/24/2021,790521
5/25/2021,792196
5/26/2021,793693
5/27/2021,794985
5/28/2021,796343
5/29/2021,797386
5/30/2021,798830
5/31/2021,800540
6/1/2021,802305
6/2/2021,804293
6/3/2021,805980
6/4/2021,807867
6/5/2021,809314
6/6/2021,810990
6/7/2021,812960
6/8/2021,815282
6/9/2021,817819
6/10/2021,820395
6/11/2021,822849
6/12/2021,824486
6/13/2021,826922
6/14/2021,829972
6/15/2021,833291
6/16/2021,837247
6/17/2021,841087
6/18/2021,844970
6/19/2021,848027
6/20/2021,851668
6/21/2021,856304
6/22/2021,861150
6/23/2021,866877
6/24/2021,872935
6/25/2021,878804
6/26/2021,883138
6/27/2021,888406
6/28/2021,896770
6/29/2021,904436
6/30/2021,913258
7/1/2021,921559
7/2/2021,930042
7/3/2021,936256
7/4/2021,944917
7/5/2021,954881
7/6/2021,966406
7/7/2021,977568
7/8/2021,989219
7/9/2021,1000543
7/10/2021,1009315
7/11/2021,1021189
7/12/2021,1034957
7/13/2021,1047155
7/14/2021,1059538
7/15/2021,1071774
7/16/2021,1083922
7/17/2021,1092411
7/18/2021,1103989
7/19/2021,1117310
7/20/2021,1128889
7/21/2021,1136503
7/22/2021,1140200
7/23/2021,1146564
7/24/2021,1153344
7/25/2021,1164635
7/26/2021,1179827
7/27/2021,1194752
7/28/2021,1210982
7/29/2021,1226253
7/30/2021,1240115
7/31/2021,1249484
8/1/2021,1264328
8/2/2021,1280317
8/3/2021,1296093
8/4/2021,1309910
8/5/2021,1322654
8/6/2021,1335260
8/7/2021,1343396
8/8/2021,1353695
8/9/2021,1365158
8/10/2021,1376322
8/11/2021,1386742
8/12/2021,1396868
8/13/2021,1405333
8/14/2021,1412218
8/15/2021,1418902
8/16/2021,1425861
8/17/2021,1433396
8/18/2021,1440644
8/19/2021,1447210
8/20/2021,1453203
8/21/2021,1457194
8/22/2021,1461998
8/23/2021,1467715
8/24/2021,1472964
8/25/2021,1477930
8/26/2021,1482628
8/27/2021,1486153
8/28/2021,1489589
8/29/2021,1493537
8/30/2021,1497261
8/31/2021,1500618
9/1/2021,1503680
9/2/2021,1507116
9/3/2021,1510283
9/4/2021,1512026
9/5/2021,1514456
9/6/2021,1517166
9/7/2021,1519805
9/8/2021,1522302
9/9/2021,1524890
9/10/2021,1527215
9/11/2021,1528542
9/12/2021,1530413
9/13/2021,1532366
9/14/2021,1534440
9/15/2021,1536341
9/16/2021,1538203
9/17/2021,1540110
9/18/2021,1541300
9/19/2021,1542683
9/20/2021,1544238
9/21/2021,1545800
9/22/2021,1547176
9/23/2021,1548320
9/24/2021,1549553
9/25/2021,1550371
9/26/2021,1551351
9/27/2021,1552563
9/28/2021,1553873
9/29/2021,1555051
9/30/2021,1555911
10/1/2021,1556758
10/2/2021,1557347
10/3/2021,1557964
10/4/2021,1558758
10/5/2021,1559452
10/6/2021,1560155
